day,slot,category,role,person_id,person_name,shortage_count
2025-01-01,1,SIMPLE,-,AN,AN,
2025-01-01,1,SIMPLE,-,AO,AO,
2025-01-01,1,SIMPLE,-,AR,AR,
2025-01-01,2,SIMPLE,-,AD,AD,
2025-01-01,2,SIMPLE,-,AE,AE,
2025-01-01,2,SIMPLE,-,AG,AG,
2025-01-01,2,SIMPLE,-,AH,AH,
2025-01-01,2,SIMPLE,-,AJ,AJ,
2025-01-01,2,SIMPLE,-,AM,AM,
2025-01-01,2,SIMPLE,-,AN,AN,
2025-01-01,2,SIMPLE,-,AO,AO,
2025-01-01,3,C3,AMB_CHEF,AN,AN,
2025-01-01,3,C3,AMB_CHEF,V,V,
2025-01-01,3,C3,AMB_COND,AB,AB,
2025-01-01,3,C3,AMB_COND,H,H,
2025-01-01,3,C3,AMB_EQUI_SUAP,M,M,
2025-01-01,3,C3,AMB_EQUI_SUAP,O,O,
2025-01-01,3,C3,FPT_CHEF,J,J,
2025-01-01,3,C3,FPT_COND,AH,AH,
2025-01-01,3,C3,FPT_EQUI_INC,AL,AL,
2025-01-01,4,SIMPLE,-,AE,AE,
2025-01-01,4,SIMPLE,-,AI,AI,
2025-01-01,4,SIMPLE,-,AJ,AJ,
2025-01-01,4,SIMPLE,-,AK,AK,
2025-01-01,4,SIMPLE,-,AL,AL,
2025-01-01,4,SIMPLE,-,AM,AM,
2025-01-01,4,SIMPLE,-,AP,AP,
2025-01-01,4,SIMPLE,-,AQ,AQ,
2025-01-02,1,SIMPLE,-,AN,AN,
2025-01-02,1,SIMPLE,-,AP,AP,
2025-01-02,1,SIMPLE,-,AQ,AQ,
2025-01-02,2,SIMPLE,-,AA,AA,
2025-01-02,2,SIMPLE,-,AC,AC,
2025-01-02,2,SIMPLE,-,AD,AD,
2025-01-02,2,SIMPLE,-,AF,AF,
2025-01-02,2,SIMPLE,-,AL,AL,
2025-01-02,2,SIMPLE,-,AM,AM,
2025-01-02,2,SIMPLE,-,AR,AR,
2025-01-02,2,SIMPLE,-,X,X,
2025-01-02,3,C3,AMB_CHEF,G,G,
2025-01-02,3,C3,AMB_CHEF,V,V,
2025-01-02,3,C3,AMB_COND,AB,AB,
2025-01-02,3,C3,AMB_COND,AE,AE,
2025-01-02,3,C3,AMB_EQUI_SUAP,E,E,
2025-01-02,3,C3,AMB_EQUI_SUAP,M,M,
2025-01-02,3,C3,FPT_CHEF,AA,AA,
2025-01-02,3,C3,FPT_COND,AI,AI,
2025-01-02,3,C3,FPT_EQUI_INC,AC,AC,
2025-01-02,4,SIMPLE,-,AA,AA,
2025-01-02,4,SIMPLE,-,AB,AB,
2025-01-02,4,SIMPLE,-,AF,AF,
2025-01-02,4,SIMPLE,-,AI,AI,
2025-01-02,4,SIMPLE,-,AJ,AJ,
2025-01-02,4,SIMPLE,-,AN,AN,
2025-01-02,4,SIMPLE,-,AO,AO,
2025-01-02,4,SIMPLE,-,Z,Z,
2025-01-03,1,SIMPLE,-,AH,AH,
2025-01-03,1,SIMPLE,-,AL,AL,
2025-01-03,1,SIMPLE,-,AP,AP,
2025-01-03,2,SIMPLE,-,AD,AD,
2025-01-03,2,SIMPLE,-,AE,AE,
2025-01-03,2,SIMPLE,-,AH,AH,
2025-01-03,2,SIMPLE,-,AJ,AJ,
2025-01-03,2,SIMPLE,-,AK,AK,
2025-01-03,2,SIMPLE,-,AN,AN,
2025-01-03,2,SIMPLE,-,AP,AP,
2025-01-03,2,SIMPLE,-,AQ,AQ,
2025-01-03,3,C3,AMB_CHEF,H,H,
2025-01-03,3,C3,AMB_COND,AI,AI,
2025-01-03,3,C3,AMB_COND,Q,Q,
2025-01-03,3,C3,AMB_EQUI_SUAP,O,O,
2025-01-03,3,C3,AMB_EQUI_SUAP,Z,Z,
2025-01-03,3,C3,FPT_CHEF,J,J,
2025-01-03,3,C3,FPT_COND,AE,AE,
2025-01-03,3,C3,FPT_EQUI_INC,AO,AO,
2025-01-03,3,SHORTAGE,AMB_CHEF,,,1
2025-01-03,4,SIMPLE,-,AF,AF,
2025-01-03,4,SIMPLE,-,AI,AI,
2025-01-03,4,SIMPLE,-,AK,AK,
2025-01-03,4,SIMPLE,-,AL,AL,
2025-01-03,4,SIMPLE,-,AM,AM,
2025-01-03,4,SIMPLE,-,AN,AN,
2025-01-03,4,SIMPLE,-,AO,AO,
